sandi,2016,2017,2018,2019,2020,2021,2022,2023,2024
777958113,0.0,0.0,0.0,1.0,0.0,1.78,0.0,2.0,0.0
777959365,0.0,0.0,4.5,4.5,4.3,2.68,0.0,0.0,0.0
777248877,0.0,0.0,3.45,3.7,3.9,4.0,3.0,3.0,2.44
777958143,0.0,0.0,2.45,2.35,2.75,3.0,3.0,2.0,2.58
777111113,0.0,0.0,0.0,4.55,1.3,3.95,0.0,1.0,0.0
777930061,0.0,0.0,0.0,0.0,1.95,1.0,1.25,1.41,0.0
777958130,0.0,0.0,0.0,1.35,1.35,0.0,0.0,2.0,0.0
777959853,0.0,0.0,2.36,2.36,2.36,0.0,0.0,0.0,0.0
777959292,0.0,0.0,4.25,3.9,3.15,5.0,0.0,0.0,0.0
777959228,0.0,0.0,4.15,4.1,3.05,5.0,0.0,0.0,0.0
777953739,0.0,0.0,2.91,3.12,1.0,2.83,0.0,1.0,0.0
777930016,0.0,0.0,0.0,2.95,0.0,1.94,0.0,3.0,0.0
777930044,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
777958798,0.0,0.0,0.8,1.5,0.8,1.0,0.0,2.0,0.0
777249193,0.0,0.0,4.2,3.6,4.0,5.0,0.0,0.0,0.0
777249232,0.0,0.0,4.8,4.0,4.8,1.83,0.0,0.0,0.0
777958124,0.0,0.0,0.0,4.02,1.95,0.0,0.0,2.0,0.0
777959293,0.0,0.0,3.25,3.25,2.65,5.0,0.0,0.0,0.0
777248909,0.0,0.0,2.7,1.15,0.0,0.0,0.0,2.0,0.0
777958150,0.0,0.0,4.2,3.8,3.15,0.0,3.0,2.0,3.55
777930048,0.0,0.0,0.0,1.3,0.0,3.9,0.0,1.0,0.0
777959219,0.0,0.0,4.3,2.8,1.95,5.0,0.0,0.0,0.0
777249485,0.0,0.0,0.0,2.0,2.35,0.0,2.36,1.48,1.4
777930023,0.0,0.0,0.0,3.85,4.3,5.0,0.0,0.0,0.0
777958159,0.0,0.0,4.85,4.75,5.0,0.0,0.0,0.0,0.0
777249428,0.0,0.0,4.8,4.15,4.5,1.7,0.0,0.0,0.0
777958160,0.0,0.0,3.7,3.45,3.4,4.0,3.0,3.0,3.0
777930022,0.0,0.0,5.0,3.95,3.05,5.0,0.0,0.0,0.0
777958167,0.0,0.0,2.0,1.25,1.0,0.0,2.0,3.0,0.0
777958119,0.0,0.0,3.24,1.0,1.0,0.0,0.0,2.0,0.0
777249191,0.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0
777930021,0.0,0.0,0.0,3.9,2.65,5.0,0.0,0.0,0.0
777230002,0.0,0.0,2.48,2.48,2.32,2.7,2.65,0.0,0.0
777930033,0.0,0.0,4.5,4.2,4.7,5.0,0.0,0.0,0.0
777930019,0.0,0.0,3.9,3.65,3.0,5.0,0.0,0.0,0.0
777959297,0.0,0.0,0.0,3.85,2.35,0.0,0.0,2.0,0.0
