sandi,no_izin,nama,tgl_jatuh_tempo_izin,npwp,modal_disetor,kpwdn,pulau,provinsi,kota,pengurus,pemegang_saham
777959240,17/174/Btm/61,Anugrah Cahaya Indo,,71.257.619.8-215.000,2000000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Jefri,Edison; Jefri
777959269,17/158/DKSP/61,AFEX Indonesia,,31.805.233.9-071.000,35185600000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Jan Vlietstra; Richard Robert Poulton; Rida Wahyu Setyarini,"Asscociated Foreign Exchange Holdings, Inc; Associated Foreign Exchange, Inc."
777959292,17/169/Btm/16,Ultra Niaga Sejahtera Remittance,,71.533.620.2-223.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,Andi Kusuma,Andi Kusuma; Keng Peng
777959293,17/172/Btm/59,Wira Sindo Trijaya Remittance,,71.484.349.7-223.000,300000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,Jefri,Moen Seng; hendri
777959294,17/170/Btm/57,Karimun Jaya Remittance,,71.533.623.6.223.000,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,,
777959295,17/163/Btm/50,PT Adrian Artha Abadi Remittance,30/06/2024,71.533.619.4-223.000,150000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,,
777959296,17/162//Btm/49,Kurnia Maju Sejati Remittance,,71.533.622.8-233.000,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,,
777959297,17/17/DKSP/62,Berkah Sinar Abadi,,71.699.831.5-022.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777959303,17/160/Btm/4,Makmur Gemilang Sejati,,71.393.155.8-215.000,250000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Susanto,Podin; Susanto
777959304,17/171/Btm/58,Lintas Rakyat Remittance,,71.533.621.0-223.000,150000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,Tjin Kiu Sin,Syameyato; Tjin Kiu Sin
777959364,17/181/DKSP/63,Peniti Money Remittance,,72.444.887.3-035.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777959365,17/182/Btm/66,Alfa Gemilang Remittance,,71.974.107.6-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Alfian; Ali Hanafiah,Alfian; Ali Hanafiah
777959414,17/183/DKSP/64,Lumbung Berkah Abadi,,02.952.058.2-029.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Barat,,
777959434,17/177/Mdn/11,Dana Buana Indonesia,,31.817.044.6-111.000,0,KPwBI Provinsi Sumatera Utara,Sumatera,Provinsi Sumatera Utara,Kota Medan,,
777959544,17/179/Btm/64,Dahlia Artha Niaga,,71.813.947.0-223.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,Achmad Maulana Sirojjudin,Achmad Maulana Sirojjudin; Khabibah
777959545,17/184/Btm/67,Kolibri Multi Jasa,,,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,,
777959853,18/192/Pdg/1,Uda Metro Remittance,,,0,KPwBI Provinsi Sumatera Barat,Sumatera,Provinsi Sumatera Barat,Kota Padang,,
777960626,18/194/DKSP/67,Duit Sono Sini Remittance,,72.934.419.2-026.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777962666,22/320/Jkt/B/21-001,PT. PAYQUEST NETWORK INDONESIA,01/01/0001,85.371.770.0-008.000,4500000000,KPwBI Provinsi DKI Jakarta,,,,Hendra Sutandinata,Eddy Sutandinata; Hendra Sutandinata
